date,Biden
0,25.96
1,27.900000000000002
2,76.0
3,47.79
4,27.45
5,22.549999999999997
6,12.299999999999999
7,6.38
8,14.280000000000001
9,14.520000000000001
10,43.120000000000005
11,14.96
12,32.64
13,16.45
14,55.9
15,66.92999999999999
16,13.120000000000001
17,16.32
18,11.4
19,3.36
20,2.5200000000000005
21,2.85
22,6.6
23,5.2
24,5.0
25,3.2
26,6.0
27,5.4
28,9.36
29,6.82
30,4.37
31,2.5500000000000003
32,3.06
33,3.06
34,2.89
35,4.0
36,3.2399999999999998
37,2.72
38,4.0
39,3.2399999999999998
40,2.5500000000000003
41,2.72
42,5.279999999999999
43,5.279999999999999
44,4.2
45,4.0
46,2.5500000000000003
47,2.24
48,3.8000000000000003
49,5.76
50,15.600000000000001
51,100.0
52,31.9
53,19.35
54,9.92
55,4.84
56,3.6
57,6.5
58,4.83
59,2.25
60,2.89
61,19.61
62,19.61
63,32.83
64,20.9
65,45.599999999999994
66,72.0
67,22.62
68,13.02
69,10.530000000000001
70,10.8
71,9.0
72,16.17
73,12.6
74,10.530000000000001
75,6.9
76,4.32
77,5.88
78,10.4
79,29.25
80,54.56
81,13.64
82,8.16
83,5.6000000000000005
84,6.38
85,6.3
