date,Warren
0,34.22
1,40.300000000000004
2,42.9
3,47.599999999999994
4,32.480000000000004
5,33.629999999999995
6,28.62
7,33.059999999999995
8,35.38
9,26.5
10,45.54
11,40.96
12,33.629999999999995
13,29.700000000000003
14,30.800000000000004
15,100.0
16,36.6
17,25.5
18,24.5
19,22.56
20,24.5
21,28.62
22,26.0
23,23.52
24,24.009999999999998
25,19.8
26,17.22
27,21.16
28,20.7
29,20.240000000000002
30,19.36
31,62.0
32,53.760000000000005
33,58.199999999999996
34,55.459999999999994
35,52.080000000000005
36,56.64
37,50.6
38,53.94
39,42.33
40,33.0
41,37.92
42,41.5
43,31.68
44,34.2
45,35.88
46,29.82
47,25.619999999999997
48,32.4
49,33.58
50,30.66
51,48.06
52,33.75
53,30.099999999999998
54,29.669999999999998
55,35.72
56,35.88
57,33.58
58,22.32
59,22.94
60,23.18
61,18.0
62,18.45
63,21.12
64,18.400000000000002
65,23.029999999999998
66,18.0
67,15.17
68,12.920000000000002
69,17.2
70,18.48
71,19.27
72,16.34
73,16.77
74,16.72
75,13.68
76,20.21
77,21.12
78,19.32
79,17.63
80,90.0
81,29.64
82,18.9
83,20.58
84,18.86
85,14.35
