ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Bernie Sanders,10/1/2019 0:00,$0.09 ,$0.11 ,$0.09 ,$0.10 ,24816
Cory Booker,10/1/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,39211
Harris,10/1/2019 0:00,$0.05 ,$0.06 ,$0.04 ,$0.05 ,20198
Gillibrand,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Joe Biden,10/1/2019 0:00,$0.22 ,$0.26 ,$0.22 ,$0.26 ,27195
Elizabeth Warren,10/1/2019 0:00,$0.48 ,$0.49 ,$0.43 ,$0.45 ,16610
Cuomo,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Zuckerberg,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/1/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.02 ,4591
Johnson,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,2001
Winfrey,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
O'Rourke,10/1/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,4253
Clinton,10/1/2019 0:00,$0.09 ,$0.10 ,$0.07 ,$0.10 ,32670
S. Brown,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,850
Michael Bloomberg,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,850
Andrew Yang,10/1/2019 0:00,$0.11 ,$0.11 ,$0.10 ,$0.11 ,19575
Pete Buttigieg,10/1/2019 0:00,$0.07 ,$0.08 ,$0.07 ,$0.07 ,10522
Castro,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,855
Gabbard,10/1/2019 0:00,$0.03 ,$0.04 ,$0.02 ,$0.03 ,18906
Hickenlooper,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,850
Inslee,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,850
Bullock,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1875
Bennet,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,850
Williamson,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,850
Ryan,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
de Blasio,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,850
Swalwell,10/1/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Tom Steyer,10/1/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.02 ,11435
Bernie Sanders,10/2/2019 0:00,$0.10 ,$0.11 ,$0.05 ,$0.07 ,194006
Cory Booker,10/2/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,15230
Harris,10/2/2019 0:00,$0.05 ,$0.06 ,$0.04 ,$0.05 ,28322
Gillibrand,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,300
Joe Biden,10/2/2019 0:00,$0.26 ,$0.27 ,$0.22 ,$0.22 ,42979
Elizabeth Warren,10/2/2019 0:00,$0.45 ,$0.53 ,$0.44 ,$0.51 ,48819
Cuomo,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1
Zuckerberg,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Kaine,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Amy Klobuchar,10/2/2019 0:00,$0.02 ,$0.02 ,$0.01 ,$0.01 ,5156
Johnson,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Brown,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Murphy,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Delaney,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Winfrey,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,1
O'Rourke,10/2/2019 0:00,$0.01 ,$0.02 ,$0.01 ,$0.01 ,10908
Clinton,10/2/2019 0:00,$0.10 ,$0.10 ,$0.04 ,$0.05 ,145775
S. Brown,10/2/2019 0:00,$0.01 ,$0.01 ,$0.01 ,$0.01 ,0
Michael Bloomberg,10/2/2019 0:00,$0.01 ,$0.04 ,$0.01 ,$0.01 ,71686
Andrew Yang,10/2/2019 0:00,$0.11 ,$0.12 ,$0.10 ,$0.10 ,33836
Pete Buttigieg,10/2/2019 0:00,$0.07 ,$0.08 ,$0.07 ,$0.07 ,17299
